[TRACE][2021/12/06 15:36:35:646][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 47/999
[TRACE][2021/12/06 15:36:35:732][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 48/999
[TRACE][2021/12/06 15:36:35:819][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 49/999
[TRACE][2021/12/06 15:36:35:905][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 50/999
[TRACE][2021/12/06 15:36:35:992][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 51/999
[TRACE][2021/12/06 15:36:36:078][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 52/999
[TRACE][2021/12/06 15:36:36:165][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 53/999
[TRACE][2021/12/06 15:36:36:251][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 54/999
[TRACE][2021/12/06 15:36:36:338][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 55/999
[TRACE][2021/12/06 15:36:36:424][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 56/999
[TRACE][2021/12/06 15:36:36:511][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 57/999
[TRACE][2021/12/06 15:36:36:597][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 58/999
[TRACE][2021/12/06 15:36:36:684][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 59/999
[TRACE][2021/12/06 15:36:36:770][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 60/999
[TRACE][2021/12/06 15:36:36:857][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 61/999
[TRACE][2021/12/06 15:36:36:943][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 62/999
[TRACE][2021/12/06 15:36:37:030][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 63/999
[TRACE][2021/12/06 15:36:37:117][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 64/999
[TRACE][2021/12/06 15:36:37:203][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 65/999
[TRACE][2021/12/06 15:36:37:290][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 66/999
[TRACE][2021/12/06 15:36:37:376][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 67/999
[TRACE][2021/12/06 15:36:37:463][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 68/999
[TRACE][2021/12/06 15:36:37:549][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 69/999
[TRACE][2021/12/06 15:36:37:636][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 70/999
[TRACE][2021/12/06 15:36:37:722][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 71/999
[TRACE][2021/12/06 15:36:37:809][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 72/999
[TRACE][2021/12/06 15:36:37:895][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 73/999
[TRACE][2021/12/06 15:36:37:982][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 74/999
[TRACE][2021/12/06 15:36:38:068][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 75/999
[TRACE][2021/12/06 15:36:38:155][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 76/999
[TRACE][2021/12/06 15:36:38:241][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 77/999
[TRACE][2021/12/06 15:36:38:328][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 78/999
[TRACE][2021/12/06 15:36:38:414][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 79/999
[TRACE][2021/12/06 15:36:38:501][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 80/999
[TRACE][2021/12/06 15:36:38:587][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 81/999
[TRACE][2021/12/06 15:36:38:674][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 82/999
